Case_ID,Activity,Timestamp,CO2_Impact,Activity_Cost
EMP0001,First Week Check-in,2020-07-06 13:49:35,0.46,89.9
EMP0001,Introduction Session,2020-07-16 22:49:35,0.11,96.72
EMP0001,Complete Documentation,2020-07-27 10:49:35,1.85,351.35
EMP0001,IT Setup,2020-08-08 17:49:35,0.96,135.54
EMP0001,Training Module 1,2020-08-18 23:49:35,0.17,166.22
EMP0001,Training Module 2,2020-08-31 08:49:35,1.19,452.15
EMP0002,First Week Check-in,2021-05-10 14:25:47,1.16,247.07
EMP0002,Introduction Session,2021-05-20 15:25:47,1.16,331.51
EMP0002,Complete Documentation,2021-05-28 21:25:47,0.21,364.76
EMP0002,IT Setup,2021-05-30 08:25:47,1.91,327.65
EMP0002,Training Module 1,2021-06-12 08:25:47,1.02,430.78
EMP0002,Training Module 2,2021-06-14 13:25:47,1.28,144.25
EMP0003,First Week Check-in,2021-02-08 14:10:08,0.55,363.71
EMP0003,Introduction Session,2021-02-23 14:10:08,1.81,221.28
EMP0003,Complete Documentation,2021-03-05 00:10:08,0.62,470.67
EMP0003,IT Setup,2021-03-09 03:10:08,1.52,297.66
EMP0003,Training Module 1,2021-03-16 15:10:08,0.8,494.6
EMP0003,Training Module 2,2021-03-30 23:10:08,0.13,64.18
EMP0004,First Week Check-in,2022-09-15 00:11:47,0.17,57.73
EMP0004,Introduction Session,2022-09-25 01:11:47,0.71,427.76
EMP0004,Complete Documentation,2022-10-01 05:11:47,1.57,209.47
EMP0004,IT Setup,2022-10-07 15:11:47,1.43,418.11
EMP0004,Training Module 1,2022-10-21 00:11:47,0.61,475.63
EMP0004,Training Module 2,2022-11-05 06:11:47,1.99,483.65
EMP0005,First Week Check-in,2020-02-11 00:49:07,1.96,336.38
EMP0005,Introduction Session,2020-02-20 05:49:07,1.26,75.73
EMP0005,Complete Documentation,2020-02-24 13:49:07,1.06,272.39
EMP0005,IT Setup,2020-02-28 14:49:07,1.62,184.9
EMP0005,Training Module 1,2020-03-04 19:49:07,0.53,178.63
EMP0005,Training Module 2,2020-03-11 06:49:07,0.45,378.08
EMP0006,First Week Check-in,2021-06-02 09:05:10,0.56,222.42
EMP0006,Introduction Session,2021-06-05 19:05:10,0.65,84.31
EMP0006,Complete Documentation,2021-06-16 20:05:10,1.85,96.55
EMP0006,IT Setup,2021-06-25 08:05:10,0.31,482.94
EMP0006,Training Module 1,2021-07-10 12:05:10,0.6,195.56
EMP0006,Training Module 2,2021-07-18 21:05:10,0.79,194.59
EMP0007,First Week Check-in,2022-06-17 17:11:15,1.44,235.98
EMP0007,Introduction Session,2022-06-22 22:11:15,0.34,241.46
EMP0007,Complete Documentation,2022-07-08 07:11:15,1.75,203.5
EMP0007,IT Setup,2022-07-12 14:11:15,1.01,277.38
EMP0007,Training Module 1,2022-07-16 02:11:15,1.07,89.26
EMP0007,Training Module 2,2022-07-28 13:11:15,0.38,282.04
EMP0008,First Week Check-in,2023-04-18 00:19:18,1.01,151.15
EMP0008,Introduction Session,2023-04-28 05:19:18,1.31,319.11
EMP0008,Complete Documentation,2023-05-13 06:19:18,0.46,185.79
EMP0008,IT Setup,2023-05-26 17:19:18,0.97,107.82
EMP0008,Training Module 1,2023-06-03 18:19:18,1.24,431.89
EMP0008,Training Module 2,2023-06-15 01:19:18,1.71,420.17
EMP0009,First Week Check-in,2020-06-22 18:33:56,0.71,483.49
EMP0009,Introduction Session,2020-06-27 18:33:56,0.23,427.9
EMP0009,Complete Documentation,2020-07-08 00:33:56,1.07,286.13
EMP0009,IT Setup,2020-07-16 08:33:56,1.08,426.18
EMP0009,Training Module 1,2020-07-17 19:33:56,1.6,449.82
EMP0009,Training Module 2,2020-07-26 05:33:56,1.9,423.88
EMP0010,First Week Check-in,2024-12-31 21:40:23,0.96,87.14
EMP0010,Introduction Session,2025-01-04 03:40:23,1.8,115.1
EMP0010,Complete Documentation,2025-01-16 15:40:23,1.32,84.08
EMP0010,IT Setup,2025-01-23 16:40:23,1.76,204.66
EMP0010,Training Module 1,2025-02-01 22:40:23,0.97,407.78
EMP0010,Training Module 2,2025-02-04 03:40:23,0.79,256.25
EMP0011,First Week Check-in,2020-01-19 12:53:19,0.97,287.45
EMP0011,Introduction Session,2020-01-27 19:53:19,1.3,130.23
EMP0011,Complete Documentation,2020-02-01 07:53:19,1.68,413.76
EMP0011,IT Setup,2020-02-11 18:53:19,0.44,346.62
EMP0011,Training Module 1,2020-02-26 20:53:19,1.83,267.76
EMP0011,Training Module 2,2020-03-10 03:53:19,0.81,305.46
EMP0012,First Week Check-in,2022-02-21 19:19:08,1.73,367.91
EMP0012,Introduction Session,2022-02-28 03:19:08,1.71,261.01
EMP0012,Complete Documentation,2022-03-07 14:19:08,1.65,92.1
EMP0012,IT Setup,2022-03-20 17:19:08,0.38,399.31
EMP0012,Training Module 1,2022-03-26 20:19:08,1.76,458.83
EMP0012,Training Module 2,2022-04-04 08:19:08,1.85,430.04
EMP0013,First Week Check-in,2022-02-08 19:08:22,1.72,218.92
EMP0013,Introduction Session,2022-02-14 20:08:22,0.35,102.52
EMP0013,Complete Documentation,2022-02-27 03:08:22,1.09,59.71
EMP0013,IT Setup,2022-03-13 08:08:22,1.82,493.22
EMP0013,Training Module 1,2022-03-25 08:08:22,0.96,402.42
EMP0013,Training Module 2,2022-03-31 15:08:22,0.27,323.58
EMP0014,First Week Check-in,2024-04-25 02:00:42,0.79,245.51
EMP0014,Introduction Session,2024-05-01 03:00:42,0.95,226.79
EMP0014,Complete Documentation,2024-05-06 15:00:42,0.45,221.4
EMP0014,IT Setup,2024-05-13 02:00:42,1.28,125.09
