Case_ID,Activity,Timestamp,CO2_Impact,Activity_Cost,Role
EMP00001,First Week Check-in,2020-01-24 16:22:10,0.47,488.29,HR Manager
EMP00001,Introduction Session,2020-02-01 01:22:10,1.64,113.26,HR Manager
EMP00001,Complete Documentation,2020-02-07 13:22:10,1.82,194.07,New Hire
EMP00001,IT Setup,2020-02-16 22:22:10,1.84,237.98,IT Staff
EMP00001,Training Module 1,2020-02-24 08:22:10,1.19,495.3,New Hire
EMP00001,Training Module 2,2020-02-25 08:22:10,0.33,355.33,New Hire
EMP00001,Welcome Package Distribution,2020-02-27 16:22:10,0.27,215.35,HR Manager
EMP00001,Feedback Collection,2020-03-08 21:22:10,0.81,96.17,HR Manager
EMP00002,First Week Check-in,2020-06-24 22:01:01,0.57,448.28,HR Manager
EMP00002,Introduction Session,2020-07-01 09:01:01,1.11,357.19,HR Manager
EMP00002,Complete Documentation,2020-07-14 10:01:01,0.23,372.78,New Hire
EMP00002,IT Setup,2020-07-21 22:01:01,1.72,245.97,IT Staff
EMP00002,Training Module 1,2020-08-02 05:01:01,1.31,362.46,New Hire
EMP00002,Training Module 2,2020-08-14 05:01:01,0.79,150.23,New Hire
EMP00002,Welcome Package Distribution,2020-08-28 08:01:01,0.45,178.69,HR Manager
EMP00002,Feedback Collection,2020-09-08 18:01:01,1.57,430.56,HR Manager
EMP00003,First Week Check-in,2020-02-07 11:58:24,0.99,97.54,HR Manager
EMP00003,Introduction Session,2020-02-21 13:58:24,0.92,430.95,HR Manager
EMP00003,Complete Documentation,2020-03-02 13:58:24,1.48,58.59,New Hire
EMP00003,IT Setup,2020-03-09 22:58:24,1.02,488.59,IT Staff
EMP00003,Training Module 1,2020-03-13 08:58:24,1.17,366.97,New Hire
EMP00003,Training Module 2,2020-03-22 20:58:24,1.87,315.5,New Hire
EMP00003,Welcome Package Distribution,2020-04-04 04:58:24,0.69,222.41,HR Manager
EMP00003,Feedback Collection,2020-04-18 15:58:24,1.47,109.69,HR Manager
EMP00004,First Week Check-in,2020-08-06 01:17:13,0.88,94.21,HR Manager
EMP00004,Introduction Session,2020-08-08 03:17:13,1.85,441.67,HR Manager
EMP00004,Complete Documentation,2020-08-15 06:17:13,1.08,242.25,New Hire
EMP00004,IT Setup,2020-08-17 17:17:13,0.5,156.01,IT Staff
EMP00004,Training Module 1,2020-09-01 00:17:13,1.71,191.56,New Hire
EMP00004,Training Module 2,2020-09-14 00:17:13,1.12,327.66,New Hire
EMP00004,Welcome Package Distribution,2020-09-22 09:17:13,1.95,152.22,HR Manager
EMP00004,Feedback Collection,2020-09-27 11:17:13,1.38,318.78,HR Manager
EMP00005,First Week Check-in,2020-02-14 12:52:11,1.59,435.26,HR Manager
EMP00005,Introduction Session,2020-02-29 17:52:11,1.54,70.7,HR Manager
EMP00005,Complete Documentation,2020-03-14 04:52:11,1.4,318.05,New Hire
EMP00005,IT Setup,2020-03-26 04:52:11,0.72,306.09,IT Staff
EMP00005,Training Module 1,2020-03-28 16:52:11,0.79,403.33,New Hire
EMP00005,Training Module 2,2020-04-11 23:52:11,1.19,229.66,New Hire
EMP00005,Welcome Package Distribution,2020-04-15 05:52:11,1.26,334.53,HR Manager
EMP00005,Feedback Collection,2020-04-24 11:52:11,0.61,88.8,HR Manager
EMP00006,First Week Check-in,2020-10-21 13:48:43,1.61,251.55,HR Manager
EMP00006,Introduction Session,2020-10-26 01:48:43,1.45,112.92,HR Manager
EMP00006,Complete Documentation,2020-11-05 08:48:43,1.15,243.66,New Hire
EMP00006,IT Setup,2020-11-10 18:48:43,1.72,274.34,IT Staff
EMP00006,Training Module 1,2020-11-19 03:48:43,0.26,485.74,New Hire
EMP00006,Training Module 2,2020-12-03 07:48:43,1.65,202.0,New Hire
EMP00006,Welcome Package Distribution,2020-12-07 16:48:43,1.91,336.89,HR Manager
EMP00006,Feedback Collection,2020-12-22 01:48:43,0.56,116.3,HR Manager
EMP00007,First Week Check-in,2020-08-22 15:44:45,1.43,235.24,HR Manager
EMP00007,Introduction Session,2020-09-01 22:44:45,1.32,414.3,HR Manager
EMP00007,Complete Documentation,2020-09-09 00:44:45,1.16,73.37,New Hire
EMP00007,IT Setup,2020-09-23 12:44:45,0.75,163.83,IT Staff
EMP00007,Training Module 1,2020-10-03 14:44:45,0.41,429.02,New Hire
EMP00007,Training Module 2,2020-10-12 18:44:45,1.47,325.72,New Hire
EMP00007,Welcome Package Distribution,2020-10-19 18:44:45,0.95,128.44,HR Manager
EMP00007,Feedback Collection,2020-11-03 00:44:45,0.8,79.57,HR Manager
EMP00008,First Week Check-in,2020-05-08 21:42:10,1.7,132.24,HR Manager
EMP00008,Introduction Session,2020-05-10 03:42:10,1.75,194.38,HR Manager
EMP00008,Complete Documentation,2020-05-11 12:42:10,1.71,335.34,New Hire
EMP00008,IT Setup,2020-05-25 18:42:10,0.78,164.6,IT Staff
EMP00008,Training Module 1,2020-06-02 22:42:10,1.2,155.64,New Hire
EMP00008,Training Module 2,2020-06-14 23:42:10,1.74,92.75,New Hire
EMP00008,Welcome Package Distribution,2020-06-30 03:42:10,1.29,248.7,HR Manager
EMP00008,Feedback Collection,2020-07-14 14:42:10,0.6,450.66,HR Manager
EMP00009,First Week Check-in,2020-06-15 21:02:55,1.67,281.13,HR Manager
EMP00009,Introduction Session,2020-06-19 05:02:55,1.78,425.31,HR Manager
EMP00009,Complete Documentation,2020-06-27 07:02:55,1.51,425.84,New Hire
EMP00009,IT Setup,2020-07-09 10:02:55,1.05,134.76,IT Staff
EMP00009,Training Module 1,2020-07-19 11:02:55,1.03,202.35,New Hire
EMP00009,Training Module 2,2020-07-21 21:02:55,0.34,297.22,New Hire
EMP00009,Welcome Package Distribution,2020-07-30 02:02:55,1.11,402.22,HR Manager
EMP00009,Feedback Collection,2020-08-05 08:02:55,1.23,212.3,HR Manager
EMP00010,First Week Check-in,2020-08-12 18:52:29,0.32,384.48,HR Manager
EMP00010,Introduction Session,2020-08-23 23:52:29,0.52,221.78,HR Manager
EMP00010,Complete Documentation,2020-09-03 02:52:29,1.9,278.99,New Hire
EMP00010,IT Setup,2020-09-11 14:52:29,1.75,256.24,IT Staff
EMP00010,Training Module 1,2020-09-15 02:52:29,0.13,187.49,New Hire
EMP00010,Training Module 2,2020-09-16 14:52:29,1.34,270.39,New Hire
EMP00010,Welcome Package Distribution,2020-09-27 19:52:29,1.55,93.55,HR Manager
EMP00010,Feedback Collection,2020-10-02 02:52:29,1.56,54.33,HR Manager
EMP00011,First Week Check-in,2020-09-11 08:45:07,1.72,121.89,HR Manager
EMP00011,Introduction Session,2020-09-15 18:45:07,0.2,279.32,HR Manager
EMP00011,Complete Documentation,2020-09-25 22:45:07,1.97,458.14,New Hire
EMP00011,IT Setup,2020-09-28 04:45:07,0.55,452.16,IT Staff
EMP00011,Training Module 1,2020-10-10 14:45:07,0.52,491.72,New Hire
EMP00011,Training Module 2,2020-10-20 21:45:07,1.64,208.29,New Hire
EMP00011,Welcome Package Distribution,2020-11-01 06:45:07,0.21,51.62,HR Manager
EMP00011,Feedback Collection,2020-11-10 07:45:07,1.97,278.43,HR Manager
EMP00012,First Week Check-in,2020-09-25 20:37:35,1.35,362.2,HR Manager
EMP00012,Introduction Session,2020-10-06 22:37:35,1.41,256.8,HR Manager
EMP00012,Complete Documentation,2020-10-20 07:37:35,1.51,202.33,New Hire
EMP00012,IT Setup,2020-10-21 07:37:35,1.64,316.34,IT Staff
EMP00012,Training Module 1,2020-10-29 11:37:35,1.26,463.21,New Hire
EMP00012,Training Module 2,2020-11-08 18:37:35,0.33,140.29,New Hire
EMP00012,Welcome Package Distribution,2020-11-19 02:37:35,0.17,386.29,HR Manager
EMP00012,Feedback Collection,2020-11-26 04:37:35,1.29,393.81,HR Manager
EMP00013,First Week Check-in,2020-10-03 22:16:43,0.27,107.77,HR Manager
EMP00013,Introduction Session,2020-10-09 23:16:43,0.29,486.66,HR Manager
EMP00013,Complete Documentation,2020-10-21 04:16:43,1.59,403.06,New Hire
EMP00013,IT Setup,2020-11-05 08:16:43,0.23,343.67,IT Staff
EMP00013,Training Module 1,2020-11-09 09:16:43,1.15,225.23,New Hire
EMP00013,Training Module 2,2020-11-11 13:16:43,1.84,209.07,New Hire
EMP00013,Welcome Package Distribution,2020-11-12 21:16:43,1.6,290.77,HR Manager
EMP00013,Feedback Collection,2020-11-28 06:16:43,0.81,195.94,HR Manager
EMP00014,First Week Check-in,2020-09-15 18:51:37,0.18,497.65,HR Manager
EMP00014,Introduction Session,2020-09-18 00:51:37,1.25,398.39,HR Manager
EMP00014,Complete Documentation,2020-09-19 01:51:37,1.93,83.45,New Hire
EMP00014,IT Setup,2020-09-21 12:51:37,0.64,291.74,IT Staff
EMP00014,Training Module 1,2020-10-06 19:51:37,1.78,116.44,New Hire
EMP00014,Training Module 2,2020-10-09 01:51:37,1.11,440.67,New Hire
EMP00014,Welcome Package Distribution,2020-10-15 13:51:37,1.34,76.3,HR Manager
EMP00014,Feedback Collection,2020-10-27 00:51:37,1.86,183.77,HR Manager
EMP00015,First Week Check-in,2020-05-13 03:08:32,0.81,214.34,HR Manager
EMP00015,Introduction Session,2020-05-17 14:08:32,0.37,411.52,HR Manager
EMP00015,Complete Documentation,2020-05-25 16:08:32,0.17,238.35,New Hire
EMP00015,IT Setup,2020-05-31 04:08:32,0.96,70.46,IT Staff
EMP00015,Training Module 1,2020-06-12 13:08:32,0.88,159.83,New Hire
EMP00015,Training Module 2,2020-06-15 20:08:32,1.4,486.83,New Hire
EMP00015,Welcome Package Distribution,2020-06-22 21:08:32,0.16,184.45,HR Manager
EMP00015,Feedback Collection,2020-07-03 00:08:32,1.34,262.81,HR Manager
EMP00016,First Week Check-in,2020-12-20 18:03:32,0.9,244.05,HR Manager
EMP00016,Introduction Session,2020-12-25 22:03:32,0.39,474.02,HR Manager
EMP00016,Complete Documentation,2020-12-30 01:03:32,0.66,192.51,New Hire
EMP00016,IT Setup,2021-01-06 08:03:32,1.79,239.05,IT Staff
