event_id,object_id,object_type,activity,timestamp,actor,event_type,department,related_objects,co2_impact,activity_cost
EV_00001,EMP0001,Employee,First Week Check-in,2020-07-06 13:49:35,Trainer_A,Employee.FirstWeekMeeting,Sales,Department:Sales,0.46,89.9
EV_00002,EMP0001,Employee,Introduction Session,2020-07-16 22:49:35,Trainer_A,Employee.Onboarding.Introduction,Sales,Department:Sales,0.11,96.72
EV_00003,EMP0001,Employee,Complete Documentation,2020-07-27 10:49:35,HR_Officer_2,Document.Processed,Sales,DocumentPackage:DOC_EMP0001,1.85,351.35
EV_00004,EMP0001,Employee,IT Setup,2020-08-08 17:49:35,IT_Tech1,Equipment.Assigned,Sales,Equipment:LAPTOP_EMP0001|Equipment:PHONE_EMP0001|Equipment:MONITOR_EMP0001,0.96,135.54
EV_00005,EMP0001,Employee,Training Module 1,2020-08-18 23:49:35,Trainer_B,Training.Session,Sales,TrainingModule:MOD_001,0.17,166.22
EV_00006,EMP0001,Employee,Training Module 2,2020-08-31 08:49:35,Trainer_B,Training.Session,Sales,TrainingModule:MOD_002,1.19,452.15
EV_00007,EMP0002,Employee,First Week Check-in,2021-05-10 14:25:47,Trainer_A,Employee.FirstWeekMeeting,HR,Department:HR,1.16,247.07
EV_00008,EMP0002,Employee,Introduction Session,2021-05-20 15:25:47,Trainer_A,Employee.Onboarding.Introduction,HR,Department:HR,1.16,331.51
EV_00009,EMP0002,Employee,Complete Documentation,2021-05-28 21:25:47,HR_Officer_2,Document.Processed,HR,DocumentPackage:DOC_EMP0002,0.21,364.76
EV_00010,EMP0002,Employee,IT Setup,2021-05-30 08:25:47,IT_Tech1,Equipment.Assigned,HR,Equipment:LAPTOP_EMP0002|Equipment:PHONE_EMP0002|Equipment:MONITOR_EMP0002,1.91,327.65
EV_00011,EMP0002,Employee,Training Module 1,2021-06-12 08:25:47,Trainer_A,Training.Session,HR,TrainingModule:MOD_001,1.02,430.78
EV_00012,EMP0002,Employee,Training Module 2,2021-06-14 13:25:47,Trainer_A,Training.Session,HR,TrainingModule:MOD_002,1.28,144.25
EV_00013,EMP0003,Employee,First Week Check-in,2021-02-08 14:10:08,Trainer_B,Employee.FirstWeekMeeting,Finance,Department:Finance,0.55,363.71
EV_00014,EMP0003,Employee,Introduction Session,2021-02-23 14:10:08,Trainer_B,Employee.Onboarding.Introduction,Finance,Department:Finance,1.81,221.28
EV_00015,EMP0003,Employee,Complete Documentation,2021-03-05 00:10:08,HR_Officer_1,Document.Processed,Finance,DocumentPackage:DOC_EMP0003,0.62,470.67
EV_00016,EMP0003,Employee,IT Setup,2021-03-09 03:10:08,IT_Tech3,Equipment.Assigned,Finance,Equipment:LAPTOP_EMP0003|Equipment:PHONE_EMP0003|Equipment:MONITOR_EMP0003,1.52,297.66
EV_00017,EMP0003,Employee,Training Module 1,2021-03-16 15:10:08,Trainer_B,Training.Session,Finance,TrainingModule:MOD_001,0.8,494.6
EV_00018,EMP0003,Employee,Training Module 2,2021-03-30 23:10:08,Trainer_D,Training.Session,Finance,TrainingModule:MOD_002,0.13,64.18
EV_00019,EMP0004,Employee,First Week Check-in,2022-09-15 00:11:47,Trainer_B,Employee.FirstWeekMeeting,Operations,Department:Operations,0.17,57.73
EV_00020,EMP0004,Employee,Introduction Session,2022-09-25 01:11:47,Trainer_D,Employee.Onboarding.Introduction,Operations,Department:Operations,0.71,427.76
EV_00021,EMP0004,Employee,Complete Documentation,2022-10-01 05:11:47,HR_Officer_2,Document.Processed,Operations,DocumentPackage:DOC_EMP0004,1.57,209.47
EV_00022,EMP0004,Employee,IT Setup,2022-10-07 15:11:47,IT_Tech1,Equipment.Assigned,Operations,Equipment:LAPTOP_EMP0004|Equipment:PHONE_EMP0004|Equipment:MONITOR_EMP0004,1.43,418.11
EV_00023,EMP0004,Employee,Training Module 1,2022-10-21 00:11:47,Trainer_B,Training.Session,Operations,TrainingModule:MOD_001,0.61,475.63
EV_00024,EMP0004,Employee,Training Module 2,2022-11-05 06:11:47,Trainer_D,Training.Session,Operations,TrainingModule:MOD_002,1.99,483.65
EV_00025,EMP0005,Employee,First Week Check-in,2020-02-11 00:49:07,Trainer_C,Employee.FirstWeekMeeting,Engineering,Department:Engineering,1.96,336.38
EV_00026,EMP0005,Employee,Introduction Session,2020-02-20 05:49:07,Trainer_C,Employee.Onboarding.Introduction,Engineering,Department:Engineering,1.26,75.73
EV_00027,EMP0005,Employee,Complete Documentation,2020-02-24 13:49:07,HR_Officer_1,Document.Processed,Engineering,DocumentPackage:DOC_EMP0005,1.06,272.39
EV_00028,EMP0005,Employee,IT Setup,2020-02-28 14:49:07,IT_Tech1,Equipment.Assigned,Engineering,Equipment:LAPTOP_EMP0005|Equipment:PHONE_EMP0005|Equipment:MONITOR_EMP0005,1.62,184.9
EV_00029,EMP0005,Employee,Training Module 1,2020-03-04 19:49:07,Trainer_C,Training.Session,Engineering,TrainingModule:MOD_001,0.53,178.63
EV_00030,EMP0005,Employee,Training Module 2,2020-03-11 06:49:07,Trainer_A,Training.Session,Engineering,TrainingModule:MOD_002,0.45,378.08
EV_00031,EMP0006,Employee,First Week Check-in,2021-06-02 09:05:10,Trainer_A,Employee.FirstWeekMeeting,Sales,Department:Sales,0.56,222.42
EV_00032,EMP0006,Employee,Introduction Session,2021-06-05 19:05:10,Trainer_D,Employee.Onboarding.Introduction,Sales,Department:Sales,0.65,84.31
EV_00033,EMP0006,Employee,Complete Documentation,2021-06-16 20:05:10,HR_Officer_1,Document.Processed,Sales,DocumentPackage:DOC_EMP0006,1.85,96.55
EV_00034,EMP0006,Employee,IT Setup,2021-06-25 08:05:10,IT_Tech2,Equipment.Assigned,Sales,Equipment:LAPTOP_EMP0006|Equipment:PHONE_EMP0006|Equipment:MONITOR_EMP0006,0.31,482.94
EV_00035,EMP0006,Employee,Training Module 1,2021-07-10 12:05:10,Trainer_C,Training.Session,Sales,TrainingModule:MOD_001,0.6,195.56
EV_00036,EMP0006,Employee,Training Module 2,2021-07-18 21:05:10,Trainer_C,Training.Session,Sales,TrainingModule:MOD_002,0.79,194.59
EV_00037,EMP0007,Employee,First Week Check-in,2022-06-17 17:11:15,Trainer_A,Employee.FirstWeekMeeting,HR,Department:HR,1.44,235.98
EV_00038,EMP0007,Employee,Introduction Session,2022-06-22 22:11:15,Trainer_D,Employee.Onboarding.Introduction,HR,Department:HR,0.34,241.46
EV_00039,EMP0007,Employee,Complete Documentation,2022-07-08 07:11:15,HR_Officer_1,Document.Processed,HR,DocumentPackage:DOC_EMP0007,1.75,203.5
EV_00040,EMP0007,Employee,IT Setup,2022-07-12 14:11:15,IT_Tech2,Equipment.Assigned,HR,Equipment:LAPTOP_EMP0007|Equipment:PHONE_EMP0007|Equipment:MONITOR_EMP0007,1.01,277.38
EV_00041,EMP0007,Employee,Training Module 1,2022-07-16 02:11:15,Trainer_A,Training.Session,HR,TrainingModule:MOD_001,1.07,89.26
EV_00042,EMP0007,Employee,Training Module 2,2022-07-28 13:11:15,Trainer_C,Training.Session,HR,TrainingModule:MOD_002,0.38,282.04
EV_00043,EMP0008,Employee,First Week Check-in,2023-04-18 00:19:18,Trainer_C,Employee.FirstWeekMeeting,Finance,Department:Finance,1.01,151.15
EV_00044,EMP0008,Employee,Introduction Session,2023-04-28 05:19:18,Trainer_B,Employee.Onboarding.Introduction,Finance,Department:Finance,1.31,319.11
EV_00045,EMP0008,Employee,Complete Documentation,2023-05-13 06:19:18,HR_Officer_1,Document.Processed,Finance,DocumentPackage:DOC_EMP0008,0.46,185.79
EV_00046,EMP0008,Employee,IT Setup,2023-05-26 17:19:18,IT_Tech1,Equipment.Assigned,Finance,Equipment:LAPTOP_EMP0008|Equipment:PHONE_EMP0008|Equipment:MONITOR_EMP0008,0.97,107.82
EV_00047,EMP0008,Employee,Training Module 1,2023-06-03 18:19:18,Trainer_B,Training.Session,Finance,TrainingModule:MOD_001,1.24,431.89
EV_00048,EMP0008,Employee,Training Module 2,2023-06-15 01:19:18,Trainer_C,Training.Session,Finance,TrainingModule:MOD_002,1.71,420.17
EV_00049,EMP0009,Employee,First Week Check-in,2020-06-22 18:33:56,Trainer_A,Employee.FirstWeekMeeting,Operations,Department:Operations,0.71,483.49
EV_00050,EMP0009,Employee,Introduction Session,2020-06-27 18:33:56,Trainer_B,Employee.Onboarding.Introduction,Operations,Department:Operations,0.23,427.9
EV_00051,EMP0009,Employee,Complete Documentation,2020-07-08 00:33:56,HR_Officer_1,Document.Processed,Operations,DocumentPackage:DOC_EMP0009,1.07,286.13
