Case_ID,Activity,Timestamp,User,Details
#1,Issue Created,2026-02-15 09:58:35,stevenld165,"Create endpoints for editing show list"
#2,Issue Created,2026-02-15 09:59:04,stevenld165,"Create endpoints for handling show metadata retrieval"
#3,Issue Created,2026-02-15 10:00:32,stevenld165,"Finish planning"
#4,Issue Created,2026-02-15 10:50:58,stevenld165,"Implement user accounts with authentication"
#2,Commit Referenced,2026-02-15 10:02:53,stevenld165,"Commit: 53f29eb - Reference in issue #2"
#3,Commit Referenced,2026-02-15 10:38:03,stevenld165,"Commit: 78c6d4c - Reference in issue #3"
#2,Commit Referenced,2026-02-15 10:42:45,stevenld165,"Commit: 7cc2bd9 - Reference in issue #2"
#3,Commit Referenced,2026-02-15 11:33:41,stevenld165,"Commit: baa2485 - Reference in issue #3"
#4,Commit Referenced,2026-02-16 09:50:30,stevenld165,"Commit: ac12f82 - Reference in issue #4"
#4,Issue Closed,2026-02-16 09:51:22,stevenld165,"State: completed - Issue closed"
#2,Issue Closed,2026-02-16 09:51:34,stevenld165,"State: completed - Issue closed"
#1,Issue Closed,2026-02-16 09:51:52,stevenld165,"State: completed - Issue closed"
#3,Sub-Issue Added,2026-02-16 09:54:51,stevenld165,"Sub-issue #6 added: Figma for front end"
#6,Parent Issue Added,2026-02-16 09:54:51,stevenld165,"Added to parent issue #3: Finish planning"
#5,Commit Referenced,2026-02-16 12:01:59,stevenld165,"Commit: d73271d - Reference in issue #5"
#5,Issue Created,2026-02-16 09:53:47,stevenld165,"Implement rolling endpoints"
